text,flesch,words,syllables,label
 the boy who lived mr and mrs dursley of number four privet drive were proud to say that they were perfectly normal thank you very much ,-17.07,15,37,0
they were the last people you expect to be involved in anything strange or mysterious because they just didn hold with such nonsense ,-55.13,14,41,0
mr dursley was the director of firm called grunnings which made drills ,-18.5,9,23,0
he was big beefy man with hardly any neck although he did have very large mustache ,-31.73,10,27,0
mrs dursley was thin and blonde and had nearly twice the usual amount of neck which came in very useful as she spent so much of her time craning over garden fences spying on the neighbors ,-48.14,21,58,0
the dursley had small son called dudley and in their opinion there was no finer boy anywhere ,-45.04,12,34,0
the dursleys had everything they wanted but they also had secret and their greatest fear was that somebody would discover it ,-66.67,13,40,0
they didn think they could bear it if anyone found out about the potters ,-46.7,9,26,0
mrs potter was mrs dursley sister but they hadn met for several years in fact mrs dursley pretended she didn have sister because her sister and her good for nothing husband were as undursleyish as it was possible to be ,-43.12,24,64,0
the dursleys shuddered to think what the neighbors would say if the potters arrived in the street ,-57.11,10,30,0
the dursleys knew that the potters had small son too but they had never even seen him ,-19.68,11,28,0
this boy was another good reason for keeping the potters away they didn want dudley mixing with child like that ,-53.65,13,38,0
when mr and mrs dursley woke up on the dull gray tuesday our story starts there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country ,-46.65,24,65,0
mr dursley hummed as he picked out his most boring tie for work and mrs dursley gossiped away happily as she wrestled screaming dudley into his high chair ,-43.99,19,52,0
none of them noticed large tawny owl flutter past the window ,-27.9,9,24,0
at half past eight mr dursley picked up his briefcase pecked mrs dursley on the cheek and tried to kiss dudley good bye but missed because dudley was now having tantrum and throwing his cereal at the walls ,-45.27,25,67,0
 little tyke chortled mr dursley as he left the house ,-17.81,7,18,0
he got into his car and backed out of number four drive ,-12.78,8,20,0
it was on the corner of the street that he noticed the first sign of something peculiar cat reading map ,-52.09,12,35,0
for second mr dursley didn realize what he had seen then he jerked his head around to look again ,-33.99,15,40,0
there was tabby cat standing on the corner of privet drive but there wasn a map in sight ,-8.1,13,31,0
what could he have been thinking of ,-29.87,4,11,0
it must have been trick of the light ,33.58,4,8,0
mr dursley blinked and stared at the cat ,3.34,6,14,0
it stared back ,-6.69,2,5,0
as mr dursley drove around the corner and up the road he watched the cat in his mirror ,-31.73,10,27,0
it was now reading the sign that said privet drive no looking at the sign cats couldn read maps or signs ,-24.92,14,36,0
mr dursley gave himself little shake and put the cat out of his mind ,-9.1,9,22,0
as he drove toward town he thought of nothing except large order of drills he was hoping to get that day ,-24.92,14,36,0
but on the edge of town drills were driven out of his mind by something else ,-31.73,10,27,0
as he sat in the usual morning traffic jam he couldn help noticing that there seemed to be lot of strangely dressed people about ,-53.65,13,38,0
people in cloaks ,-50.01,3,9,0
mr dursley couldn bear people who dressed in funny clothes the getups you saw on young people ,-40.64,13,36,0
he supposed this was some stupid new fashion ,-52.04,5,15,0
he drummed his fingers on the steering wheel and his eyes fell on huddle of these weirdos standing quite close by ,-53.65,13,38,0
they were whispering excitedly together ,-114.47,4,15,0
mr dursley was enraged to see that couple of them weren young at all why that man had to be older than he was and wearing an emerald green cloak ,-47.34,16,45,0
the nerve of him ,-47.98,1,3,0
but then it struck mr dursley that this was probably some silly stunt these people were obviously collecting for something yes that would be it ,-39.34,17,46,0
the traffic moved on and few minutes later mr dursley arrived in the grunnings parking lot his mind back on drills ,-30.96,14,37,0
mr dursley always sat with his back to the window in his office on the ninth floor ,-11.98,11,27,0
if he hadn he might have found it harder to concentrate on drills that morning ,-33.93,8,22,0
he didn see the owls swooping past in broad daylight though people down in the street did they pointed and gazed open mouthed as owl after owl sped overhead ,-53.91,22,62,0
most of them had never seen an owl even at nighttime ,-52.04,5,15,0
mr dursley however had perfectly normal owl free morning ,-27.9,9,24,0
he yelled at five different people ,-68.96,5,16,0
he made several important telephone calls and shouted bit more ,-90.33,7,24,0
he was in very good mood until lunchtime when he thought he stretch his legs and walk across the road to buy himself bun from the bakery ,-19.43,17,42,0
he forgotten all about the people in cloaks until he passed group of them next to the baker ,-35.06,11,30,0
he eyed them angrily as he passed ,-29.87,4,11,0
he didn know why but they made him uneasy ,-29.87,4,11,0
this bunch were whispering excitedly too and he couldn see single collecting tin ,-56.1,9,27,0
it was on his way back past them clutching large doughnut in bag that he caught few words of what they were saying ,-11.43,15,36,0
 the potters that right that what heard yes their son harry mr dursley stopped dead ,-4.29,11,26,0
fear flooded him ,-50.01,3,9,0
he looked back at the whisperers as if he wanted to say something to them but thought better of it ,-42.75,11,31,0
he dashed back across the road hurried up to his office snapped at his secretary not to disturb him seized his telephone and had almost finished dialing his home number when he changed his mind ,-73.99,23,70,0
he put the receiver back down and stroked his mustache thinking no he was being stupid ,-48.65,10,29,0
potter wasn such an unusual name ,-72.17,4,13,0
he was sure there were lots of people called potter who had son called harry ,-27.9,9,24,0
come to think of it he wasn even sure his nephew was called harry ,-29.9,7,19,0
he never even seen the boy ,-29.87,4,11,0
it might have been harvey ,6.39,3,7,0
or harold ,-47.98,1,3,0
there was no point in worrying mrs dursley she always got so upset at any mention of her sister ,-31.73,10,27,0
he didn blame her if he had sister like that but all the same those people in cloaks ,-53.05,6,18,0
he found it lot harder to concentrate on drills that afternoon and when he left the building at five clock he was still so worried that he walked straight into someone just outside the door ,-69.29,22,66,0
 sorry he grunted as the tiny old man stumbled and almost fell ,-2.21,8,19,0
it was few seconds before mr dursley realized that the man was wearing violet cloak ,-56.1,9,27,0
he didn seem at all upset at being almost knocked to the ground ,-38.95,6,17,0
on the contrary his face split into wide smile and he said in squeaky voice that made passersby stare don be sorry my dear sir for nothing could upset me today ,-50.34,20,56,0
rejoice for you know who has gone at last ,-35.12,5,14,0
even muggles like yourself should be celebrating this happy happy day and the old man hugged mr dursley around the middle and walked off ,-36.77,16,43,0
mr dursley stood rooted to the spot ,-10.75,6,15,0
he had been hugged by complete stranger ,-51.02,4,12,0
he also thought he had been called muggle whatever that was ,-68.96,5,16,0
he was rattled ,-6.69,2,5,0
he hurried to his car and set off for home hoping he was imagining things which he had never hoped before because he didn approve of imagination ,-96.58,11,38,0
as he pulled into the driveway of number four the first thing he saw and it didn improve his mood was the tabby cat he spotted that morning ,-40.64,13,36,0
it was now sitting on his garden wall ,6.36,7,16,0
he was sure it was the same one it had the same markings around its eyes ,-53.05,6,18,0
 shoo said mr dursley loudly ,-18.2,5,13,0
the cat didn move ,6.39,3,7,0
it just gave him stern look ,-1.28,5,12,0
was this normal cat behavior ,-78.21,3,10,0
mr dursley wondered ,-21.81,3,8,0
trying to pull himself together he let himself into the house ,-35.12,5,14,0
he was still determined not to mention anything to his wife ,-85.88,5,17,0
mrs dursley had had nice normal day ,3.34,6,14,0
she told him over dinner all about mrs next door problems with her daughter and how dudley had learned new word won ,-19.43,17,42,0
mr dursley tried to act normally ,-1.28,5,12,0
when dudley had been put to bed he went into the living room in time to catch the last report on the evening news and finally bird watchers everywhere have reported that the nation owls have been behaving very unusually today ,-62.19,25,72,0
although owls normally hunt at night and are hardly ever seen in daylight there have been hundreds of sightings of these birds flying in every direction since sunrise ,-57.34,19,55,0
experts are unable to explain why the owls have suddenly changed their sleeping pattern the newscaster allowed himself grin ,-61.17,14,42,0
 most mysterious ,-217.18,1,5,0
and now over to jim mcguffin with the weather ,-29.87,4,11,0
going to be any more showers of owls tonight jim well ted said the weatherman don know about that but it not only the owls that have been acting oddly today ,-41.73,18,49,0
viewers as far apart as kent yorkshire and dundee have been phoning in to tell me that instead of the rain promised yesterday they ve had downpour of shooting stars ,-74.17,17,53,0
perhaps people have been celebrating bonfire night early it not until next week folks ,-65.5,9,28,0
but can promise wet night tonight mr dursley sat frozen in his armchair ,-27.9,9,24,0
shooting stars all over britain ,-78.21,3,10,0
owls flying by daylight ,6.39,3,7,0
mysterious people in cloaks all over the place ,-114.47,4,15,0
and whisper whisper about the potters ,-18.2,5,13,0
 mrs dursley came into the living room carrying two cups of tea ,-14.81,10,25,0
it was no good ,-6.69,2,5,0
he have to say something to her ,-48.99,2,6,0
he cleared his throat nervously ,-106.41,3,11,0
 er petunia dear you haven heard from your sister lately have you as he had expected mrs dursley looked shocked and angry ,-52.63,16,46,0
after all they normally pretended she didn have sister ,-72.17,4,13,0
 no she said sharply ,6.39,3,7,0
 why funny stuff on the news mr dursley mumbled ,18.44,7,15,0
 owls ,36.62,1,2,0
 shooting stars ,-48.99,2,6,0
 and there were lot of funny looking people in town today so snapped mrs dursley ,-27.37,11,29,0
 well just thought maybe it was something to do with you know her crowd mrs dursley sipped her tea through pursed lips ,-22.71,15,38,0
mr dursley wondered whether he dared tell her he heard the name potter he decided he didn dare ,-45.04,12,34,0
instead he said as casually as he could their son he be about dudley age now wouldn he suppose so said mrs dursley stiffly ,-47.34,16,45,0
 what his name again ,-47.98,1,3,0
howard isn it harry ,-6.69,2,5,0
