index,sentence,sentence_clean,flesch,syllables,words,ave_syllables
6333,cnn ,cnn,120.21,2,2,1.0
3555,s o ,,90.99,4,3,1.3333333333333333
3783, chevy packs an hp ls punch,chevy packs hp ls punch,66.79,11,7,1.5714285714285714
7669, corvette from hp lt to hp lt ,corvette hp lt hp lt,66.1,14,9,1.5555555555555556
999,fmf the test,fmf test,62.79,5,3,1.6666666666666667
3216,stars we lost in ,stars lost,49.48,9,5,1.8
3968,why do cats meow ,cats meow,49.48,9,5,1.8
9273, things from we miss,things miss,49.48,9,5,1.8
15262,why do cats meow ,cats meow,49.48,9,5,1.8
16507,what is wind chill ,wind chill,49.48,9,5,1.8
18742,q with chris grosse ,q chris grosse,49.48,9,5,1.8
1274,the best new snacks of ,best new snacks,45.65,11,6,1.8333333333333333
1287, of the best drift cars,best drift cars,45.65,11,6,1.8333333333333333
3311,the best films of the s,best films,45.65,11,6,1.8333333333333333
6781,what rents in c right now,rents c right,45.65,11,6,1.8333333333333333
11565,what next for greg hardy ,next greg hardy,45.65,11,6,1.8333333333333333
15986, best cars to buy now,best cars buy,45.65,11,6,1.8333333333333333
17981,fff saints fans e a x,fff saints fans e x,45.65,11,6,1.8333333333333333
18380,thursday caps clips fly by night,thursday caps clips fly night,45.65,11,6,1.8333333333333333
19356,what wrong with the ers ,wrong ers,45.65,11,6,1.8333333333333333
20635,what buys in nyc right now,buys nyc right,45.65,11,6,1.8333333333333333
3200,lt vs lt ways the corvette lt engine bests the s lt ,lt vs lt ways corvette lt engine bests lt,43.96,23,13,1.7692307692307692
10021,it a sexy sox self own ,sexy sox self,42.62,13,7,1.8571428571428572
20604,nyy news miggy on the move ,nyy news miggy on move,42.62,13,7,1.8571428571428572
11606, ford mustang shelby gt vs gt which is the better sports car ,ford mustang shelby gt vs gt the better sports car,41.55,25,14,1.7857142857142858
505,why is karl the fog so clingy lately ,karl fog so clingy lately,37.9,17,9,1.8888888888888888
5540, tfc players to watch in mls cup final,tfc players watch mls cup final,37.9,17,9,1.8888888888888888
907,hurts throws yard td on st pass of game vs iowa st ,hurts throws yard td st pass game vs iowa st,37.46,24,13,1.8461538461538463
1762,hits misses ,hits misses,34.59,6,3,2.0
7025,lion links ,lion links,34.59,6,3,2.0
12259,lion links ,lion links,34.59,6,3,2.0
14621, barletta qc,barletta qc,34.59,6,3,2.0
16087,lion links ,lion links,34.59,6,3,2.0
19025,lion links ,lion links,34.59,6,3,2.0
9039, fun things to do in philly this week nov ,fun things philly week nov,34.16,21,11,1.9090909090909092
19625, is on track in china but will it pay ,track china pay,34.16,21,11,1.9090909090909092
19919, of the best new muscle cars to buy in ,best new muscle cars buy,34.16,21,11,1.9090909090909092
729,stars turning in ,stars turning,33.58,8,4,2.0
5557,nfl week pm thread,nfl week pm thread,33.58,8,4,2.0
9470,daily dawg chow ,daily dawg chow,33.58,8,4,2.0
17368,what is nato ,nato,33.58,8,4,2.0
18471,uncg plays tenn tech,uncg plays tenn tech,33.58,8,4,2.0
6667,wjz news for amazon ,wjz news amazon,32.56,10,5,2.0
8894,brrr it cold in here,brrr cold,32.56,10,5,2.0
9774,fall is in full swing,fall full swing,32.56,10,5,2.0
10264,comics bliss by harry bliss,comics bliss harry bliss,32.56,10,5,2.0
16835,let there be lights ,let lights,32.56,10,5,2.0
21001, food gifts under ,food gifts,32.56,10,5,2.0
11532,i spent on my wedding here why it was worth it ,spent wedding worth,32.5,23,12,1.9166666666666667
21729,how j fleck got the gophers job but didn get lunch ,j fleck got the gophers job get lunch,32.5,23,12,1.9166666666666667
769,the best credit cards of ,best credit cards of,31.55,12,6,2.0
4052,the best albums of the s,best albums,31.55,12,6,2.0
6100,sunday dawg chow browns news ,sunday dawg chow browns news,31.55,12,6,2.0
6173, on with rep mac thornberry,rep mac thornberry,31.55,12,6,2.0
19759,mt st mary takes on lamar,mt st mary takes lamar,31.55,12,6,2.0
20164, the hunt trailer no ,hunt trailer,31.55,12,6,2.0
2210,stars they re just like us ,stars like us,30.53,14,7,2.0
5348,missed fg helps browns knock off bills,missed fg helps browns knock bills,30.53,14,7,2.0
6400,watch porsche take on new gt rs,watch porsche take new gt rs,30.53,14,7,2.0
7170,what the best oil for frying ,what best oil frying,30.53,14,7,2.0
10966,what not to do in snowstorm ,in snowstorm,30.53,14,7,2.0
11740,an ode to the mal rt bowl,ode mal rt bowl,30.53,14,7,2.0
12614,pats stats check in bye the way,pats stats check bye way,30.53,14,7,2.0
13267, preps game of the week ,preps game week,30.53,14,7,2.0
15148, nba players off to hot start,nba players hot start,30.53,14,7,2.0
19236,work play in the motor city ,work play motor city,30.53,14,7,2.0
20286,i ran my company on bed rest,ran company bed rest,30.53,14,7,2.0
